,UNITID_P,INSTNM,BRANCH,State,Sector_desc,men_total,women_total,Total,MURD10,NEG_M10,FORCIB10,NONFOR10,ROBBE10,AGG_A10,BURGLA10,VEHIC10,ARSON10,MURD11,NEG_M11,FORCIB11,NONFOR11,ROBBE11,AGG_A11,BURGLA11,VEHIC11,ARSON11,MURD12,NEG_M12,FORCIB12,NONFOR12,ROBBE12,AGG_A12,BURGLA12,VEHIC12,ARSON12,FILTER10,FILTER11,FILTER12
6693,230746005,Salt Lake Community College,JORDAN CAMPUS,UT,"Public, 2-year",14617.0,15380.0,29997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
6694,230746006,Salt Lake Community College,MILLER CAMPUS,UT,"Public, 2-year",14617.0,15380.0,29997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,1,1
6695,230746007,Salt Lake Community College,MEADOWBROOK CAMPUS,UT,"Public, 2-year",14617.0,15380.0,29997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
6696,230746008,Salt Lake Community College,LIBRARY SQUARE CAMPUS,UT,"Public, 2-year",14617.0,15380.0,29997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
6697,230816001,Bennington College,Main Campus,VT,"Private nonprofit, 4-year or above",272.0,554.0,826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,0,0,1,0,1,1,1
6698,230825001,Burlington College,Main Campus,VT,"Private nonprofit, 4-year or above",111.0,125.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0,0,1,0,2,0,0,0,0,1,1,1
6699,230852001,Champlain College,Main Campus,VT,"Private nonprofit, 4-year or above",1839.0,1394.0,3233.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,1,1
6702,230861001,Community College of Vermont,660 Elm Street,VT,"Public, 2-year",1990.0,4321.0,6311.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,1,1
6703,230889001,Goddard College,Main Campus,VT,"Private nonprofit, 4-year or above",207.0,496.0,703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
6704,230889002,Goddard College,Port Townsend,WA,"Private nonprofit, 4-year or above",207.0,496.0,703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
6705,230898001,Green Mountain College,Main Campus,VT,"Private nonprofit, 4-year or above",347.0,464.0,811.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0,0,0,0,0,0,7,0,1,1,1,1
6706,230898002,Green Mountain College,Killington Campus,VT,"Private nonprofit, 4-year or above",347.0,464.0,811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
6707,230940001,Marlboro College,Main Campus,VT,"Private nonprofit, 4-year or above",141.0,153.0,294.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,0,0,0,0,0,1,1,1
6708,230959002,Middlebury College,Middlebury College Bread Loaf Campus,VT,"Private nonprofit, 4-year or above",1223.0,1293.0,2516.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
6709,231004001,O'Briens Aveda Institute,O'Briens Aveda Institute,VT,"Private for-profit, less-than 2-year",1.0,79.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
6710,231059001,Saint Michael's College,Main Campus,VT,"Private nonprofit, 4-year or above",1019.0,1391.0,2410.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0,0,1,0,0,0,12,2,2,1,1,1
6711,231068001,SIT Graduate Institute,Main Campus,VT,"Private nonprofit, 4-year or above",110.0,354.0,464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
6712,231077001,College of St Joseph,Main Campus,VT,"Private nonprofit, 4-year or above",106.0,208.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
